연도,선수_ID,선수명,포지션,데이터유무
2021,55460,가라비토,투수,X
2021,52125,가르시아,타자,X
2021,51833,가빌리오,투수,O
2021,55532,감보아,투수,X
2021,53006,강건,투수,X
2021,61700,강경학,타자,O
2021,61295,강동연,투수,O
2021,67591,강동호,투수,O
2021,65515,강로한,타자,O
2021,64906,강민국,타자,O
2021,69064,강민성,타자,X
2021,74540,강민호,타자,O
2021,68050,강백호,타자,O
2021,66710,강상원,타자,O
2021,54567,강성우,타자,X
2021,54506,강승구,타자,X
2021,63123,강승호,타자,O
2021,79358,강윤구,투수,O
2021,50705,강재민,투수,O
2021,53460,강준서,타자,X
2021,79130,강지광,투수,O
2021,62925,강진성,타자,O
2021,50905,강태경,투수,O
2021,65514,강태율,타자,O
2021,64610,강한울,타자,O
2021,51269,강현구,타자,X
2021,50066,강현우,타자,X
2021,51143,강효종,투수,X
2021,68069,고명성,타자,O
2021,51868,고명준,타자,O
2021,66201,고봉재,투수,O
2021,69517,고승민,타자,X
2021,54908,고승완,타자,X
2021,54344,고영우,타자,X
2021,64001,고영표,투수,O
2021,61353,고종욱,타자,O
2021,72523,고효준,투수,O
2021,68407,공민규,타자,X
2021,53609,곽도규,투수,X
2021,68220,곽빈,투수,O
2021,53506,구드럼,타자,X
2021,69100,구본혁,타자,O
2021,63543,구승민,투수,O
2021,62404,구자욱,타자,O
2021,64498,구준범,투수,O
2021,65933,구창모,투수,X
2021,79290,국해성,타자,O
2021,52769,권광민,타자,X
2021,51640,권다결,타자,O
2021,51003,권동진,타자,O
2021,55764,권민규,투수,X
2021,68204,권민석,타자,O
2021,65412,권정웅,타자,O
2021,55371,권혁빈,타자,X
2021,50203,권휘,투수,O
2021,63963,권희동,타자,O
2021,77263,김강률,투수,O
2021,71837,김강민,타자,O
2021,65522,김강현,투수,X
2021,69702,김건,타자,O
2021,76225,김건국,투수,O
2021,51867,김건우,투수,O
2021,53844,김건웅,타자,X
2021,60339,김건태,타자,X
2021,51005,김건형,타자,O
2021,53312,김건희,타자,X
2021,77829,김광현,투수,X
2021,69810,김규남,타자,O
2021,66614,김규성,타자,O
2021,51713,김규연,투수,X
2021,66112,김기연,타자,X
2021,51715,김기중,투수,O
2021,67711,김기탁,투수,O
2021,65462,김기환,타자,O
2021,69620,김기훈,투수,X
2021,52995,김녹원,투수,X
2021,61365,김대우,투수,O
2021,78536,김대우,투수,O
2021,54164,김대원,타자,X
2021,60337,김대유,투수,O
2021,69238,김대한,타자,X
2021,66145,김대현,투수,O
2021,54401,김대호,투수,X
2021,68585,김도규,투수,O
2021,54705,김도빈,투수,X
2021,52605,김도영,타자,X
2021,51294,김도윤,투수,O
2021,69745,김도현,투수,O
2021,69442,김도환,타자,O
2021,53164,김동규,투수,X
2021,66838,김동엽,타자,O
2021,68589,김동우,투수,O
2021,50393,김동욱,투수,O
2021,51230,김동주,투수,X
2021,52267,김동준,타자,X
2021,51403,김동진,타자,X
2021,53344,김동헌,타자,X
2021,50360,김동혁,투수,O
2021,52504,김동혁,타자,X
2021,55040,김동현,투수,X
2021,54614,김두현,타자,X
2021,67246,김명신,투수,O
2021,68403,김무신,투수,O
2021,68043,김민,투수,X
2021,54913,김민규,투수,X
2021,68200,김민규,투수,O
2021,50573,김민기,투수,X
2021,53554,김민석,타자,X
2021,54097,김민석,타자,X
2021,77564,김민성,타자,O
2021,64793,김민수,타자,O
2021,65048,김민수,투수,O
2021,67504,김민수,타자,O
2021,69500,김민수,타자,X
2021,62864,김민식,타자,O
2021,65764,김민우,투수,O
2021,54608,김민재,투수,X
2021,54645,김민주,투수,X
2021,61554,김민하,타자,O
2021,64004,김민혁,타자,O
2021,65269,김민혁,타자,O
2021,53144,김범석,타자,X
2021,65769,김범수,투수,O
2021,69980,김범준,타자,X
2021,52002,김병준,타자,X
2021,50304,김병휘,타자,O
2021,64014,김병희,타자,O
2021,63894,김사윤,투수,O
2021,52402,김상민,타자,X
2021,76430,김상수,투수,O
2021,79402,김상수,타자,O
2021,52460,김서준,투수,X
2021,55359,김서준,투수,X
2021,53754,김서현,투수,X
2021,67610,김석환,타자,O
2021,66018,김선기,투수,O
2021,78603,김선빈,타자,O
2021,51604,김선우,타자,X
2021,50848,김성민,투수,X
2021,67828,김성민,투수,O
2021,52105,김성우,타자,X
2021,62934,김성욱,타자,X
2021,67449,김성윤,타자,O
2021,55216,김성재,타자,X
2021,51301,김성진,투수,O
2021,69105,김성진,타자,X
2021,63435,김성표,타자,O
2021,76802,김성현,타자,O
2021,52514,김세민,타자,X
2021,76350,김세현,투수,O
2021,54905,김세훈,타자,X
2021,67900,김수윤,타자,O
2021,50115,김수인,타자,X
2021,68346,김수환,타자,O
2021,50711,김승일,투수,X
2021,66492,김승현,투수,X
2021,51303,김시앙,타자,X
2021,67467,김시현,투수,X
2021,68928,김시훈,투수,X
2021,54368,김연주,투수,X
2021,68900,김영규,투수,O
2021,55167,김영우,투수,X
2021,52430,김영웅,타자,X
2021,68130,김영준,투수,X
2021,51097,김영현,투수,X
2021,78217,김용의,타자,O
2021,65898,김웅빈,타자,O
2021,62528,김원중,투수,O
2021,53262,김유성,투수,X
2021,68659,김유신,투수,O
2021,64596,김유영,투수,O
2021,50157,김윤식,투수,O
2021,54319,김윤하,투수,X
2021,65304,김은성,타자,O
2021,60288,김응민,타자,O
2021,69367,김인범,투수,O
2021,63257,김인태,타자,O
2021,66715,김인환,타자,X
2021,53400,김재상,타자,X
2021,65132,김재성,타자,O
2021,64580,김재열,투수,O
2021,66741,김재영,투수,X
2021,67391,김재웅,투수,O
2021,55043,김재원,투수,X
2021,65506,김재유,타자,O
2021,65062,김재윤,투수,O
2021,52424,김재혁,타자,X
2021,62332,김재현,타자,O
2021,64499,김재현,타자,X
2021,74206,김재호,타자,O
2021,78224,김재환,타자,O
2021,53865,김정민,타자,X
2021,55646,김정엽,투수,X
2021,68830,김정우,투수,X
2021,53029,김정운,투수,X
2021,65392,김정인,투수,O
2021,51903,김정호,타자,X
2021,63765,김종수,투수,O
2021,55122,김종운,투수,X
2021,66162,김주성,타자,O
2021,65411,김주온,투수,O
2021,52140,김주완,투수,X
2021,51907,김주원,타자,O
2021,66859,김주한,투수,X
2021,66749,김주현,타자,O
2021,69306,김주형,타자,O
2021,55226,김준상,타자,X
2021,63920,김준완,타자,O
2021,62558,김준태,타자,O
2021,51393,김준형,투수,O
2021,65503,김지수,타자,O
2021,60181,김지용,타자,X
2021,50458,김지찬,타자,O
2021,75867,김진성,투수,O
2021,51154,김진수,투수,O
2021,67737,김진영,투수,O
2021,51516,김진욱,투수,O
2021,67954,김진호,투수,O
2021,66917,김찬형,타자,O
2021,69825,김창평,타자,O
2021,51586,김창훈,투수,O
2021,50992,김태경,투수,O
2021,78122,김태군,타자,O
2021,71752,김태균,타자,X
2021,69207,김태근,타자,X
2021,66704,김태연,타자,O
2021,66064,김태오,투수,X
2021,67768,김태욱,투수,X
2021,52803,김태윤,타자,X
2021,64984,김태진,타자,O
2021,55566,김태현,투수,X
2021,67956,김태현,투수,O
2021,55610,김태형,투수,X
2021,67122,김태형,투수,O
2021,55995,김태훈,투수,X
2021,62360,김태훈,투수,O
2021,65040,김태훈,타자,O
2021,79847,김태훈,투수,O
2021,54263,김택연,투수,X
2021,65343,김택형,투수,O
2021,50902,김한별,타자,X
2021,55221,김한중,투수,X
2021,61404,김헌곤,타자,O
2021,69516,김현수,투수,O
2021,76290,김현수,타자,O
2021,54166,김현종,타자,X
2021,51417,김현준,타자,O
2021,66630,김현준,투수,O
2021,68912,김형준,타자,X
2021,67304,김혜성,타자,O
2021,65653,김호령,타자,O
2021,66113,김호은,타자,O
2021,64407,김호재,타자,O
2021,68269,김호준,투수,X
2021,54460,김호진,타자,X
2021,51344,김휘집,타자,O
2021,67539,나균안,투수,O
2021,62947,나성범,타자,O
2021,51551,나승엽,타자,O
2021,67454,나원탁,투수,O
2021,73209,나주환,타자,O
2021,78629,나지완,타자,O
2021,50720,남지민,투수,O
2021,66052,남태혁,타자,O
2021,66660,남하준,투수,O
2021,69104,남호,투수,O
2021,54640,네일,투수,X
2021,62920,노건우,투수,O
2021,73211,노경은,투수,O
2021,52833,노바,투수,X
2021,63704,노수광,타자,O
2021,69737,노시환,타자,O
2021,69996,노시훈,투수,O
2021,52394,노운현,투수,X
2021,62931,노진혁,타자,O
2021,64704,노태형,타자,O
2021,52637,놀린,투수,X
2021,51636,다카하시,투수,O
2021,54804,더거,투수,X
2021,52950,더모디,투수,X
2021,50040,데스파이네,투수,O
2021,54944,데이비슨,타자,X
2021,55536,데이비슨,투수,X
2021,53327,도슨,타자,X
2021,66965,도태훈,타자,O
2021,54400,디아즈,타자,X
2021,53233,딜런,투수,X
2021,52025,라모스,타자,X
2021,52707,라미레즈,투수,X
2021,54666,라우어,투수,X
2021,69439,라이블리,투수,O
2021,55903,라일리,투수,X
2021,54443,레예스,투수,X
2021,54529,레이예스,타자,X
2021,52547,렉스,타자,X
2021,55912,로건,투수,X
2021,52645,로니,투수,X
2021,55322,로젠버그,투수,X
2021,51234,로켓,투수,O
2021,67025,로하스,타자,X
2021,52112,루이즈,타자,X
2021,69940,루친스키,투수,O
2021,53404,류승민,타자,X
2021,66615,류승현,타자,X
2021,63103,류원석,투수,O
2021,62234,류지혁,타자,O
2021,65949,류진욱,투수,O
2021,53036,류현인,타자,X
2021,54219,류현준,타자,X
2021,76715,류현진,투수,X
2021,50868,류효승,타자,X
2021,64029,류희운,투수,X
2021,51834,르위키,투수,O
2021,55703,리베라토,타자,X
2021,50506,마차도,타자,O
2021,52904,마티니,타자,X
2021,53955,마틴,타자,X
2021,55844,맥브룸,타자,X
2021,53833,맥카티,투수,X
2021,54424,맥키넌,타자,X
2021,53322,맥키니,투수,X
2021,53645,메디나,투수,X
2021,55342,메르세데스,투수,X
2021,51619,멩덴,투수,O
2021,52808,모리만도,투수,X
2021,78813,모창민,타자,O
2021,53973,목지훈,투수,X
2021,51439,몽고메리,투수,O
2021,65643,문경찬,투수,O
2021,64554,문동욱,투수,O
2021,52701,문동주,투수,X
2021,69102,문보경,타자,O
2021,67063,문상인,타자,X
2021,50007,문상준,타자,X
2021,64007,문상철,타자,O
2021,68119,문성주,타자,O
2021,60336,문성현,투수,O
2021,62869,문승원,투수,O
2021,67419,문용익,투수,O
2021,67259,문원,투수,O
2021,52121,문정빈,타자,X
2021,50365,문찬종,타자,O
2021,53764,문현빈,타자,X
2021,51257,미란다,투수,O
2021,76249,민병헌,타자,O
2021,54720,바리아,투수,X
2021,51645,박건우,투수,O
2021,55046,박건우,투수,X
2021,55509,박건우,타자,X
2021,79215,박건우,타자,O
2021,73113,박경수,타자,O
2021,64468,박계범,타자,O
2021,55164,박관우,타자,X
2021,50397,박관진,투수,O
2021,53469,박권후,투수,X
2021,54802,박기호,투수,X
2021,64944,박대온,타자,O
2021,52994,박동수,투수,X
2021,79365,박동원,타자,O
2021,50563,박로건,투수,O
2021,53139,박명근,투수,X
2021,50657,박민,타자,O
2021,69056,박민석,타자,X
2021,62907,박민우,타자,O
2021,53204,박민준,타자,X
2021,64893,박민호,투수,O
2021,54304,박범준,투수,X
2021,75125,박병호,타자,O
2021,66707,박상언,타자,O
2021,67703,박상원,투수,X
2021,74465,박석민,타자,O
2021,66556,박선우,투수,O
2021,53305,박성빈,타자,X
2021,54807,박성빈,투수,X
2021,68703,박성웅,투수,O
2021,51298,박성재,타자,O
2021,67893,박성한,타자,O
2021,64021,박세웅,투수,O
2021,65844,박세웅,투수,O
2021,66047,박세진,투수,X
2021,62244,박세혁,타자,O
2021,55568,박세현,투수,X
2021,63292,박소준,투수,O
2021,52305,박수종,타자,X
2021,69418,박승규,타자,O
2021,62802,박승욱,타자,O
2021,66305,박승주,타자,X
2021,60559,박시영,투수,O
2021,50996,박시원,타자,O
2021,55121,박시원,투수,X
2021,50812,박시후,투수,X
2021,68249,박신지,투수,X
2021,50906,박영빈,타자,X
2021,69507,박영완,투수,X
2021,52060,박영현,투수,X
2021,50205,박웅,투수,O
2021,67202,박유연,타자,X
2021,53301,박윤성,투수,X
2021,69762,박윤철,투수,X
2021,55563,박재엽,타자,X
2021,64100,박재욱,타자,X
2021,55636,박재현,타자,X
2021,65639,박정수,투수,O
2021,67609,박정우,타자,O
2021,62353,박정음,타자,O
2021,61396,박정준,투수,X
2021,50709,박정현,타자,O
2021,55394,박정훈,투수,X
2021,60841,박종훈,투수,O
2021,69328,박주성,투수,O
2021,69900,박주찬,타자,X
2021,50411,박주혁,투수,X
2021,68097,박주현,투수,X
2021,50357,박주홍,타자,O
2021,55252,박준순,타자,X
2021,52731,박준영,투수,X
2021,66928,박준영,타자,O
2021,54503,박준우,투수,X
2021,64657,박준태,타자,O
2021,63638,박준표,투수,O
2021,69363,박준형,타자,X
2021,54213,박지호,투수,X
2021,54805,박지환,타자,X
2021,50204,박지훈,타자,O
2021,69594,박진,투수,X
2021,53411,박진우,타자,X
2021,63991,박진우,투수,O
2021,63512,박진형,투수,O
2021,52348,박찬혁,타자,X
2021,55530,박찬형,타자,X
2021,64646,박찬호,타자,O
2021,67266,박치국,투수,O
2021,53992,박한결,타자,X
2021,62415,박해민,타자,O
2021,55637,박헌,타자,X
2021,51803,박형준,타자,X
2021,52528,반즈,투수,X
2021,54243,발라조빅,투수,X
2021,51761,배동현,투수,O
2021,69974,배민서,투수,O
2021,64501,배성근,타자,O
2021,53587,배영빈,타자,X
2021,63145,배재준,투수,O
2021,64995,배재환,투수,X
2021,64166,배정대,타자,O
2021,65516,배제성,투수,O
2021,55455,배찬승,투수,X
2021,63559,백동훈,타자,O
2021,54507,백두산,타자,X
2021,69839,백승건,투수,X
2021,64410,백승민,타자,O
2021,53298,백승우,투수,X
2021,65109,백승현,투수,O
2021,78643,백용환,타자,O
2021,77446,백정현,투수,O
2021,52043,벤자민,투수,X
2021,55526,벨라스케즈,투수,X
2021,68305,변상권,타자,O
2021,62263,변시원,투수,O
2021,69727,변우혁,타자,X
2021,50404,뷰캐넌,투수,O
2021,52257,브랜든,투수,X
2021,50636,브룩스,투수,O
2021,67313,브리검,투수,O
2021,53665,산체스,투수,X
2021,53714,산체스,투수,X
2021,78168,서건창,타자,O
2021,64759,서균,투수,O
2021,64896,서동민,투수,O
2021,53569,서동욱,타자,X
2021,69803,서상준,투수,X
2021,66203,서예일,타자,O
2021,53309,서유신,타자,X
2021,66068,서의태,투수,X
2021,61895,서진용,투수,O
2021,69995,서호철,타자,X
2021,53560,석상호,투수,X
2021,52804,석정우,타자,X
2021,68159,성동현,투수,X
2021,54610,성영탁,투수,X
2021,50109,성재헌,투수,X
2021,67962,소이현,투수,O
2021,52630,소크라테스,타자,X
2021,50030,소형준,투수,O
2021,69041,손동현,투수,X
2021,53057,손민석,타자,X
2021,51528,손성빈,타자,O
