선수명,팀명,G,SBA,SB,CS,SB%,OOB,PKO
강민성,KT,25,0,0,0,-,0,0
강백호,KT,95,6,2,4,33.3,1,2
강현우,KT,40,0,0,0,-,0,0
권동진,KT,123,4,3,1,75.0,1,1
김건형,KT,2,0,0,0,-,0,0
김민석,KT,2,0,0,0,-,0,0
김민수,KT,1,0,0,0,-,0,0
김민혁,KT,106,14,11,3,78.6,2,0
김병준,KT,9,0,0,0,-,0,0
김상수,KT,113,4,3,1,75.0,1,0
로하스,KT,95,2,1,1,50.0,2,0
문상철,KT,79,2,1,1,50.0,1,0
박건우,KT,2,0,0,0,-,0,0
박경수,KT,1,0,0,0,-,0,0
박민석,KT,19,1,0,1,0.0,1,0
박영현,KT,5,0,0,0,-,0,0
배정대,KT,99,9,6,3,66.7,2,0
손동현,KT,1,0,0,0,-,0,0
송민섭,KT,3,0,0,0,-,1,0
스티븐슨,KT,39,2,2,0,100,5,1
안치영,KT,47,2,0,2,0.0,0,0
안현민,KT,112,8,7,1,87.5,3,2
오서진,KT,3,0,0,0,-,0,0
오윤석,KT,77,0,0,0,-,3,0
우규민,KT,2,0,0,0,-,0,0
유준규,KT,35,3,2,1,66.7,1,0
윤준혁,KT,28,1,1,0,100,0,0
이상동,KT,2,0,0,0,-,0,0
이정현,KT,2,0,0,0,-,0,0
이정훈,KT,59,1,0,1,0.0,0,0
이호연,KT,32,0,0,0,-,2,0
장성우,KT,129,1,0,1,0.0,4,0
장준원,KT,73,0,0,0,-,0,1
장진혁,KT,86,1,1,0,100,0,1
조대현,KT,64,0,0,0,-,0,0
주권,KT,2,0,0,0,-,0,0
최동환,KT,1,0,0,0,-,0,0
최성민,KT,32,1,1,0,100,0,0
허경민,KT,114,5,4,1,80.0,4,0
황재균,KT,112,4,3,1,75.0,6,0
